Energy N
1.52125 0
1.5225 3
1.52375 1
1.525 3
1.52625 0
1.5275 2
1.52875 1
1.53 0
1.53125 4
1.5325 3
1.53375 1
1.535 4
1.53625 1
1.5375 5
1.53875 1
1.54 3
1.54125 4
1.5425 1
1.54375 1
1.545 0
1.54625 0
1.5475 1
1.54875 0
1.55 1
1.55125 1
1.5525 0
1.55375 1
1.555 0
1.55625 1
1.5575 2
1.55875 2
1.56 4
1.56125 0
1.5625 2
1.56375 1
1.565 0
1.56625 0
1.5675 0
1.56875 2
1.57 0
1.57125 0
1.5725 0
1.57375 0
1.575 1
1.57625 1
1.5775 0
1.57875 1
1.58 0
1.58125 2
1.5825 0
1.58375 1
1.585 3
1.58625 0
1.5875 2
1.58875 0
1.59 1
1.59125 0
1.5925 1
1.59375 0
1.595 0
1.59625 2
1.5975 1
1.59875 0
1.6 0
1.60125 2
1.6025 3
1.60375 0
1.605 2
1.60625 0
1.6075 3
1.60875 0
1.61 2
1.61125 1
1.6125 2
1.61375 0
1.615 3
1.61625 2
1.6175 0
1.61875 0
1.62 6
1.62125 3
1.6225 0
1.62375 1
1.625 2
1.62625 8
1.6275 2
1.62875 1
1.63 2
1.63125 1
1.6325 2
1.63375 2
1.635 1
1.63625 0
1.6375 1
1.63875 1
1.64 1
1.64125 1
1.6425 0
1.64375 0
1.645 2
1.64625 1
1.6475 1
1.64875 0
1.65 2
1.65125 1
1.6525 0
1.65375 1
1.655 1
1.65625 0
1.6575 1
1.65875 1
1.66 1
1.66125 0
1.6625 3
1.66375 0
1.665 0
1.66625 0
1.6675 1
1.66875 2
1.67 2
1.67125 3
1.6725 0
1.67375 4
1.675 0
1.67625 0
1.6775 5
1.67875 1
1.68 0
1.68125 1
1.6825 1
1.68375 0
1.685 2
1.68625 1
1.6875 0
1.68875 0
1.69 2
1.69125 0
1.6925 1
1.69375 2
1.695 0
1.69625 5
1.6975 1
1.69875 0
1.7 1
1.70125 0
1.7025 2
1.70375 1
1.705 0
1.70625 2
1.7075 0
1.70875 0
1.71 2
1.71125 2
1.7125 0
1.71375 0
1.715 1
1.71625 1
1.7175 1
1.71875 0
1.72 2
1.72125 0
1.7225 5
1.72375 0
1.725 0
1.72625 1
1.7275 0
1.72875 1
1.73 1
1.73125 0
1.7325 0
1.73375 0
1.735 4
1.73625 2
1.7375 1
1.73875 2
1.74 0
1.74125 0
1.7425 0
1.74375 2
1.745 3
1.74625 1
1.7475 0
1.74875 0
1.75 0
1.75125 0
1.7525 2
1.75375 0
1.755 0
1.75625 0
1.7575 1
1.75875 1
1.76 2
1.76125 2
1.7625 0
1.76375 0
1.765 2
1.76625 0
1.7675 1
1.76875 0
1.77 0
1.77125 2
1.7725 1
1.77375 1
1.775 6
1.77625 3
1.7775 0
1.77875 12
1.78 3
1.78125 0
1.7825 0
1.78375 0
1.785 1
1.78625 1
1.7875 2
1.78875 2
1.79 0
1.79125 0
1.7925 0
1.79375 4
1.795 0
1.79625 0
1.7975 0
1.79875 0
1.8 2
1.80125 2
1.8025 3
1.80375 0
1.805 1
1.80625 0
1.8075 1
1.80875 1
1.81 1
1.81125 0
1.8125 1
1.81375 1
1.815 0
1.81625 2
1.8175 1
1.81875 3
1.82 1
1.82125 0
1.8225 0
1.82375 0
1.825 1
1.82625 0
1.8275 0
1.82875 4
1.83 0
1.83125 0
1.8325 0
1.83375 0
1.835 2
1.83625 2
1.8375 0
1.83875 1
1.84 0
1.84125 1
1.8425 1
1.84375 1
1.845 1
1.84625 0
1.8475 1
1.84875 0
1.85 0
1.85125 2
1.8525 0
1.85375 0
1.855 2
1.85625 1
1.8575 1
1.85875 0
1.86 2
1.86125 3
1.8625 1
1.86375 0
1.865 1
1.86625 1
1.8675 0
1.86875 3
1.87 1
1.87125 0
1.8725 0
1.87375 0
1.875 0
1.87625 1
1.8775 0
1.87875 0
1.88 1
1.88125 0
1.8825 5
1.88375 0
1.885 0
1.88625 3
1.8875 0
1.88875 1
1.89 1
1.89125 1
1.8925 1
1.89375 0
1.895 0
1.89625 0
1.8975 0
1.89875 1
1.9 0
1.90125 0
1.9025 2
1.90375 1
1.905 2
1.90625 0
1.9075 2
1.90875 0
1.91 0
1.91125 1
1.9125 0
1.91375 4
1.915 2
1.91625 0
1.9175 0
1.91875 1
1.92 2
1.92125 1
1.9225 0
1.92375 0
1.925 2
1.92625 1
1.9275 1
1.92875 2
1.93 3
1.93125 0
1.9325 2
1.93375 2
1.935 0
1.93625 3
1.9375 1
1.93875 0
1.94 0
1.94125 0
1.9425 1
1.94375 2
1.945 1
1.94625 1
1.9475 0
1.94875 0
1.95 3
1.95125 0
1.9525 0
1.95375 1
1.955 0
1.95625 0
1.9575 0
1.95875 2
1.96 1
1.96125 3
1.9625 1
1.96375 1
1.965 1
1.96625 3
1.9675 1
1.96875 1
1.97 2
1.97125 0
1.9725 0
1.97375 1
1.975 0
1.97625 1
1.9775 0
1.97875 1
1.98 0
1.98125 1
1.9825 0
1.98375 1
1.985 0
1.98625 2
1.9875 0
1.98875 1
1.99 0
1.99125 2
1.9925 0
1.99375 0
1.995 2
1.99625 2
1.9975 1
1.99875 0
2 1
2.00125 1
2.0025 0
2.00375 0
2.005 1
2.00625 1
2.0075 2
2.00875 1
2.01 1
2.01125 6
2.0125 2
2.01375 0
2.015 2
2.01625 2
2.0175 0
2.01875 0
2.02 2
2.02125 1
2.0225 0
2.02375 0
2.025 0
2.02625 0
2.0275 0
2.02875 1
2.03 0
2.03125 0
2.0325 0
2.03375 0
2.035 0
2.03625 0
2.0375 0
2.03875 0
2.04 1
2.04125 2
2.0425 0
2.04375 0
2.045 2
2.04625 0
2.0475 1
2.04875 0
2.05 0
2.05125 1
2.0525 2
2.05375 1
2.055 0
2.05625 1
2.0575 2
2.05875 1
2.06 0
2.06125 1
2.0625 1
2.06375 0
2.065 0
2.06625 1
2.0675 0
2.06875 0
2.07 0
2.07125 0
2.0725 2
2.07375 1
2.075 2
2.07625 0
2.0775 0
2.07875 2
2.08 0
2.08125 4
2.0825 0
2.08375 0
2.085 3
2.08625 1
2.0875 0
2.08875 0
2.09 0
2.09125 0
2.0925 0
2.09375 0
2.095 0
